model,accuracy,precision,recall,f1,roc_auc,average_precision,cv_roc_auc_mean,cv_average_precision_mean,cv_f1_mean,cv_recall_mean,cv_precision_mean,cv_roc_auc_std,cv_average_precision_std,cv_f1_std,cv_recall_std,cv_precision_std
gradient_boosting,0.9582477754962354,0.9839228295819936,0.8453038674033149,0.9093610698365527,0.9787715100116128,0.9636696309104102,0.9860617780789285,0.9741199038520285,0.9228472666193994,0.8633456628087341,0.9913478668569008,0.0020055776698431234,0.002614000670043955,0.007885687913822131,0.014320061115411092,0.005739428973031499
xgboost,0.9548254620123203,0.9157303370786517,0.9005524861878453,0.9080779944289693,0.9788330928669458,0.9630357650025664,0.9885157076617181,0.9775709887036077,0.9370830989008523,0.9240902040329315,0.9505284453937979,0.002308120875110102,0.0037449903397251175,0.009070981294165373,0.004286697828226495,0.0152057451561786
random_forest,0.9534565366187543,0.9083333333333333,0.9033149171270718,0.9058171745152355,0.9787237518789054,0.9617916681088219,0.9873434894383648,0.9740228119126965,0.9132828773138032,0.9109795967068368,0.915733687831802,0.0023753869779755046,0.0041000822201279034,0.011552905627730063,0.005421451260144833,0.019071257924360742
baseline_logistic_regression,0.9514031485284052,0.8921832884097035,0.914364640883978,0.903137789904502,0.9750664843479004,0.9615076986346968,0.9843647062770261,0.9736054438448527,0.927712761518492,0.9254623553275264,0.9300114607239214,0.00420946778387124,0.0037483592204841545,0.004966535135531598,0.005213150927288037,0.00756255091029645
