primary_isbn13,ol_author_name,ol_publisher,ol_languages,ol_ebook_access,ol_has_fulltext,ol_public_scan,ol_internet_archive_ids,ol_edition_count,ol_number_of_pages,is_series,series_name,author_total_works,author_birth_date,ol_subjects,ol_first_publish_year
9780593820247,Matt Dinniman,Ace,['eng'],no_ebook,False,False,[],10.0,465.0,True,series:Dungeon Crawler Carl,25,,"['series:Dungeon Crawler Carl', 'genre:LitRPG', 'genre:science fantasy']",2020.0
9780358272441,Alice Schertle,Houghton Mifflin Harcourt Publishing Company,['eng'],no_ebook,False,False,[],2.0,,False,,100,,"['nyt:picture-books=2021-01-17', 'New York Times bestseller', ""Children's fiction"", 'Trucks, fiction', 'Domestic animals, fiction', ""Valentine's day, fiction""]",2020.0
9781640635333,Rebecca Yarros,Entangled: Amara,"['dut', 'eng']",no_ebook,False,False,[],7.0,432.0,False,,36,14 april 1981,"['Fiction, romance, general']",2019.0
9781630062927,Lucas Miles,Humanix Books,['eng'],no_ebook,False,False,[],2.0,256.0,False,,4,,"['Religion', 'Political science']",2025.0
9781728256184,Sourcebooks,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],1.0,400.0,False,,100,,[],2025.0
9781546171461,Suzanne Collins,Scholastic,['eng'],no_ebook,False,False,[],10.0,382.0,False,,43,,[],2025.0
9781974758395,松本直也,SHONEN JUMP,['eng'],no_ebook,False,False,[],2.0,,True,series:怪獣8号,33,02 May 1982,"['franchise:怪獣8号', 'series:怪獣8号', 'form:manga', 'form:manga volume', 'form:graphic novel', 'genre:adventure', 'genre:science fantasy', 'intended public:shōnen', 'universe:怪獣8号']",2025.0
9781335621078,Patrice Lewis,Harlequin Enterprises ULC,['eng'],no_ebook,False,False,[],4.0,208.0,False,,34,,[],2025.0
9781631494536,Richard Rothstein,Liveright,['eng'],printdisabled,True,False,['coloroflawforgot0000roth'],7.0,368.0,False,,14,1939,"['Government policy', 'Discrimination in housing', 'POLITICAL SCIENCE / Public Policy / City Planning & Urban Development', 'Segregation', 'LAW / Housing & Urban Development', 'Discrimination & Race Relations', 'African Americans', 'HISTORY / United States / 20th Century', 'African americans, segregation', 'African americans, history']",2017.0
9780593809891,Katherine Rundell,"Knopf Incorporated, Alfred A.",['eng'],no_ebook,False,False,[],4.0,354.0,False,,57,,"['Fantasy', 'Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Dragons', 'Magic', 'Friendship']",2023.0
9781668017647,Keith McNally,Gallery Books,[],no_ebook,False,False,[],1.0,,False,,7,,[],2025.0
9798217233977,Golden Books,Random House,[],no_ebook,False,False,[],1.0,,False,,100,,[],2025.0
9781335621214,Lee Tobin McClain,Harlequin Enterprises ULC,['eng'],no_ebook,False,False,[],3.0,208.0,False,,100,,[],2025.0
9780593716625,Morgan Housel,Portfolio,['eng'],no_ebook,False,False,[],2.0,256.0,False,,10,,['Finance'],2025.0
9781101989753,Nora Roberts,Penguin Publishing Group,['eng'],borrowable,True,False,"['lementeur0000robe', 'liar0000robe_z0w2', 'liar0000robe_k6i0', 'liar0000robe_y7x9', 'liar0000robe_g1d4', 'liar0000robe_o3x5', 'liar0000robe']",14.0,480.0,False,,100,"October 10, 1950","['Homicide', 'Fraud', 'Secrets', 'Single mothers', 'FICTION', 'Romance', 'Attempted murder', 'Man-woman relationship', 'Homecoming', 'Contemporary']",1986.0
9780063253643,Lionel Richie,HarperCollins Publishers,['eng'],no_ebook,False,False,[],2.0,304.0,False,,13,,[],2025.0
9780063315341,Tahereh Mafi,Storytide,['eng'],no_ebook,False,False,[],1.0,,False,,60,"November 9, 1988",[],2025.0
9780063360754,Bret Baier,HarperCollins Publishers,['eng'],no_ebook,False,False,[],3.0,400.0,False,,17,,[],2025.0
9781728209357,Adam Wallace,Sourcebooks Wonderland,[],no_ebook,False,False,[],1.0,40.0,False,,73,,"[""Children's fiction"", 'nyt:picture-books=2021-12-19', 'New York Times bestseller']",2021.0
9780374178710,Nicholas Boggs,"Farrar, Straus & Giroux",['eng'],no_ebook,False,False,[],2.0,688.0,False,,1,,"['LGBTQ biography and memoir', 'Biography', 'Nonfiction', 'History', 'LGBT', 'Biography Memoir', 'Race', 'Memoir', 'Queer', 'Gay']",2025.0
9780593799185,Rick Atkinson,"Crown Publishing Group, The",['eng'],no_ebook,False,False,[],1.0,880.0,False,,18,"November 16, 1952",[],2025.0
9798217060672,Jake Tapper,"Penguin Press, an imprint of Penguin Random House",[],no_ebook,False,False,[],1.0,350.0,False,,10,1959,[],2025.0
9781536233469,Frederick Joseph,Candlewick Press,['eng'],no_ebook,False,False,[],2.0,384.0,False,,10,,[],2025.0
9780593651520,Holly Jackson,Random House Children's Books,['eng'],no_ebook,False,False,[],5.0,,False,,10,1992,[],2021.0
9781464226786,Alice Hemming,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],2.0,,False,,100,,[],2024.0
9781668080979,Megan Miranda,Scribner,['eng'],no_ebook,False,False,[],3.0,352.0,False,,33,,[],2025.0
9781501124068,Ray Dalio,"Avid Reader Press, an imprint of Simon & Schuster",['eng'],no_ebook,False,False,[],1.0,400.0,False,,16,,[],2025.0
9781982178970,Elizabeth Beller,Gallery Books,['eng'],no_ebook,False,False,[],4.0,352.0,False,,1,,"['nyt:combined-print-and-e-book-nonfiction=2024-06-09', 'New York Times bestseller']",2024.0
9781250354921,T. Kingfisher,"Doherty Associates, LLC, Tom",['eng'],no_ebook,False,False,[],3.0,192.0,False,,42,,[],2025.0
9780316597227,Rachel Gillig,Orbit,['eng'],no_ebook,False,False,[],7.0,448.0,False,,7,,"['American literature', 'nyt:combined-print-and-e-book-fiction=2023-11-05', 'New York Times bestseller']",2023.0
9781524785895,Eric Carle,World of Eric Carle,"['eng', 'spa']",no_ebook,False,False,[],4.0,32.0,False,,100,25 Jun 1929,"[""Children's fiction"", 'Caterpillars, fiction', 'Father and child, fiction', ""Father's day, fiction"", 'nyt:picture-books=2018-06-03', 'New York Times bestseller']",2018.0
9781481438261,Jason Reynolds,Atheneum/Caitlyn Dlouhy Books,['eng'],printdisabled,True,False,['longwaydown0000reyn'],3.0,336.0,False,,92,1983,"['Murder', 'Conduct of life', 'Brothers', 'Ghosts', 'Revenge', 'Novels in verse', 'Fiction', ""Children's fiction"", 'Murder, fiction', 'Ghosts, fiction']",2017.0
9781464247606,Lindsay Straube,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],1.0,512.0,False,,5,,[],2025.0
9781668014905,Richard Paul Evans,Gallery Books,['eng'],no_ebook,False,False,[],1.0,224.0,False,,100,11 October 1962,[],2025.0
9781538767146,Michael Connelly,Little Brown & Company,['eng'],no_ebook,False,False,[],1.0,464.0,False,,100,"July 21, 1956",[],2025.0
9798893310153,Joseph Nguyen,Authors Equity,['eng'],no_ebook,False,False,[],6.0,,False,,17,,"['Self-help techniques', 'Spirituality']",2022.0
9780063456860,Tara Swart,HarperCollins Publishers,['eng'],no_ebook,False,False,[],4.0,288.0,False,,7,,[],2025.0
9780593833902,Florence Knapp,Pamela Dorman / Viking,['eng'],no_ebook,False,False,[],4.0,336.0,False,,2,,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Contemporary', 'Adult', 'Family', 'Historical', 'Adult Fiction']",2025.0
9780349132617,B.A. Paris,Quercus,['eng'],no_ebook,False,False,[],7.0,352.0,True,Series:The-Housemaid,14,1958,"['Fiction, thrillers, psychological', 'Fiction, thrillers, domestic', 'Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Psychological Thriller', 'Contemporary']",2023.0
9780063336773,Karin Slaughter,HarperCollins Publishers,['eng'],no_ebook,False,False,[],7.0,448.0,False,,16,,[],2025.0
9781339030753,Katie Cicatelli-Kuc,"Scholastic, Incorporated",['eng'],no_ebook,False,False,[],1.0,,False,,7,,[],2024.0
9780316587266,Stephenie Meyer,"Little, Brown Books for Young Readers",['eng'],no_ebook,False,False,[],1.0,2896.0,False,,9,,[],2025.0
9781638932239,Navessa Allen,Zando - Slowburn,"['por', 'eng']",no_ebook,False,False,[],5.0,416.0,True,"{'series': {'key': '/series/OL329278L'}, 'position': '1'}",11,,"['romance', 'dark', 'contemporary', 'funny', 'dual pov', 'possessive hero', 'praise kink', 'bondage', 'mafia', 'suspense']",2024.0
9781338896459,Dav Pilkey,Scholastic,['eng'],no_ebook,False,False,[],4.0,224.0,True,"{'series': {'key': '/series/OL329664L'}, 'position': '13'}",100,4 March 1966,[],2024.0
9781464220845,Elsie Silver,Bloom Books,['eng'],no_ebook,False,False,[],3.0,464.0,False,,21,,[],2025.0
9781335621146,Amy Lillard,Harlequin Enterprises ULC,['eng'],no_ebook,False,False,[],4.0,208.0,False,,67,,[],2025.0
9781454952770,Mo Willems,Union Square Kids,[],no_ebook,False,False,[],1.0,40.0,False,,100,11 Feb 1968,"['Humorous stories', 'Birds, fiction', 'Christmas, fiction', 'nyt:picture-books=2023-09-24', 'New York Times bestseller']",2023.0
9781635575583,Sarah J. Maas,Bloomsbury Publishing,['eng'],printdisabled,True,False,"['courtofmistfury0000sara', 'courtofmistfury0000maas_c3x6', 'courtofmistfury0000maas_h3c1', 'courtofmistfury0000maas']",28.0,626.0,True,"{'series': {'key': '/series/OL327003L'}, 'position': '2'}",58,05 March 1986,"['Fantasy', 'Fiction', 'Fairies', 'Blessing and cursing', 'Fantasy fiction', 'Fairies, fiction', 'nyt:young-adult-hardcover=2016-05-22', 'New York Times bestseller', 'nyt:young-adult-e-book=2016-05-22', 'collectionID:TexChallenge2021']",2014.0
9781335937254,Amy Lillard,Harlequin Enterprises ULC,['eng'],no_ebook,False,False,[],1.0,208.0,False,,67,,[],2025.0
9781728235202,Alice Hemming,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],2.0,32.0,False,,100,,"[""Children's fiction""]",2020.0
9781665950824,Ann Brashares,Simon & Schuster Books For Young Readers,['eng'],no_ebook,False,False,[],3.0,,False,,100,,[],2024.0
9780593652336,Suzanne Lang,Random House Children's Books,['eng'],no_ebook,False,False,[],3.0,,False,,73,,"[""Children's fiction"", 'nyt:picture-books=2024-03-10', 'New York Times bestseller']",2024.0
9781464254529,Laura Nowlin,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],1.0,416.0,False,,10,,[],2025.0
9780593711965,LaDarrion Williams,Random House Children's Books,[],no_ebook,False,False,[],1.0,,False,,4,,"['witches', 'teen fiction', 'magic', 'fantasy']",2025.0
9781975360542,Mokumokuren,Yen Press,['eng'],no_ebook,False,False,[],2.0,256.0,False,,11,,[],2023.0
9781464237836,Meghan Quinn,Bloom Books,['eng'],no_ebook,False,False,[],3.0,,False,,100,,"['Fiction, romance, general']",2026.0
9798888903636,Rebecca Solnit,Haymarket Books,[],no_ebook,False,False,[],1.0,,False,,73,1961-06-24,[],2025.0
9780593952580,Ali Hazelwood,Berkley,['eng'],no_ebook,False,False,[],3.0,432.0,False,,23,,['American literature'],2025.0
9781668027479,Janet Evanovich,Atria Books,['eng'],no_ebook,False,False,[],2.0,320.0,False,,100,22 Apr 1943,[],2024.0
9780593471203,Anne Applebaum,Knopf Doubleday Publishing Group,['eng'],no_ebook,False,False,[],2.0,240.0,False,,1,,"['Political corruption', 'Power (social sciences)', 'Democracy', 'Authoritarianism']",2024.0
9780593871881,Hannah Bonam-Young,Dell Books / Random House,['eng'],no_ebook,False,False,[],1.0,350.0,False,,6,,[],2025.0
9781464246975,Emily McIntire,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],1.0,544.0,False,,23,,[],2025.0
9781250328175,Louise Penny,"Minotaur Books, an imprint of St. Martin's",['eng'],no_ebook,False,False,[],3.0,384.0,False,,82,,['English literature'],2025.0
9780316570411,Tigest Girma,"Little, Brown Books for Young Readers",['eng'],no_ebook,False,False,[],1.0,544.0,False,,9,,[],2025.0
9781668045879,Vince Flynn,Atria/Emily Bestler Books,['eng'],no_ebook,False,False,[],2.0,430.0,False,,100,,[],2025.0
9781464261169,Keri Lake,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],1.0,624.0,False,,25,,[],2025.0
9781542016421,Colleen Hoover,Montlake Romance,['eng'],printdisabled,True,False,['regrettingyou0000hoov'],10.0,,False,,59,"December 11, 1979","['American literature', 'Mothers and daughters', 'Fiction', 'Families', 'Secrecy', 'Life change events', 'FICTION / Women', 'FICTION / Family Life / General', 'FICTION / Romance / Contemporary', 'Mother-daughter relationship']",2019.0
9781668025628,Ruth Ware,"Scout Press, an imprint of Simon & Shuster",['eng'],no_ebook,False,False,[],5.0,400.0,False,,14,,[],2025.0
9780063419001,Tahereh Mafi,HarperCollins Publishers,['eng'],no_ebook,False,False,[],7.0,368.0,False,,60,"November 9, 1988",[],2025.0
9781419775741,Andrea Beaty,"Abrams, Inc.",['eng'],no_ebook,False,False,[],1.0,40.0,False,,52,,"[""Children's fiction""]",2025.0
9780525658672,Geoffrey C. Ward,Knopf Doubleday Publishing Group,['eng'],no_ebook,False,False,[],1.0,608.0,False,,2,,[],2025.0
